Price,Close,High,Low,Open,Volume,EMA_12,EMA_26,EMA_50,EMA_200,MACD,MACD_Signal,MACD_Hist,RSI_14
Ticker,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ
Date,,,,,,,,,,,,,
2025-05-05,29.09068489074707,29.638625098878386,28.74199480365982,28.841620814285907,138579000,26.9152107749021,26.95067874508942,29.222892768591247,33.401396215163004,-0.0354679701873195,-1.0477556957947978,1.0122877256074785,66.41791769810025
2025-05-06,28.2637939453125,28.91136020330376,27.68098298297461,27.92506662878632,165885800,27.122685108811392,27.047946537698536,29.185281050031296,33.35027579456748,0.0747385711128565,-0.8232568424132669,0.8979954135261234,62.29218655019109
2025-05-07,28.59255599975586,29.02094460403612,27.44187931213316,28.37337840199455,207867200,27.34881909203362,27.162362053406486,29.162036930412658,33.30293529909672,0.1864570386271324,-0.621314066205187,0.8077711048323195,74.78512027136466
2025-05-08,29.444355010986328,30.241359284419,28.722068819320928,29.48918662012992,197621600,27.67120923341096,27.33139856878277,29.173108227690054,33.26454146538418,0.3398106646281889,-0.4290891200385118,0.7688997846667007,76.81662764024557
2025-05-09,29.37461853027344,30.022184765440706,29.055816808357743,29.788063919567804,146818800,27.933272202159035,27.482748195559857,29.18101059249725,33.22583576453731,0.4505240065991778,-0.2531664947109739,0.7036905013101518,87.43985816648683
2025-05-12,32.931251525878906,32.95615945295946,31.805480869244303,32.80173714580899,202490000,28.702192098115937,27.88634103484275,29.32807886439457,33.222904578082996,0.8158510632731861,-0.0393629831141419,0.8552140463873281,89.28707618337066
2025-05-13,34.440582275390625,34.79923517528811,33.05578653444368,33.21020505507093,170595400,29.585021356158197,28.37184038599445,29.52856919423755,33.23502077407611,1.2131809701637517,0.2111458075414367,1.0020351626223147,89.30305156751353
2025-05-14,35.04829788208008,35.172829922934426,34.475449734066835,34.67470175951705,161184800,30.425525437069258,28.8663927931119,29.745029142780396,33.25306333236471,1.559132643957355,0.4807431748246204,1.0783894691327345,88.02173600720168
2025-05-15,35.15788650512695,35.71080906770744,34.33597427963573,34.60994628827156,161694800,31.15358098600121,29.33242936437227,29.95729805895085,33.27201679677031,1.8211516216289352,0.7488248641854834,1.072326757443452,87.2217620143659
2025-05-16,35.59125518798828,35.62612400685436,34.69462678839647,35.42189343932911,127627200,31.83630009399922,29.796046092047533,30.17823755420722,33.295093795687905,2.0402540019516877,1.0071106917387245,1.0331433102129632,87.84888575712077
2025-05-19,35.6859016418457,35.795490446842706,34.08691067904765,34.10683626181223,143794200,32.4285464859756,30.23233168832888,30.394224381173437,33.31888292848549,2.1962147976467215,1.244931512920324,0.9512832847263974,87.38299720734815
2025-05-20,35.31230545043945,35.45178072911642,34.570095545813395,35.15788693482085,134069400,32.87220171127773,30.608626041077812,30.58709030545838,33.338717978455186,2.26357567019992,1.4486603443762431,0.8149153258236768,84.54900925165587
2025-05-21,33.84282684326172,35.860243517823235,33.4642483950325,34.4903911410996,219255200,33.02152865465988,30.848196470869212,30.714766248117336,33.343733987060226,2.17333218379067,1.5935947122591283,0.5797374715315415,73.04995001553424
2025-05-22,34.01716995239258,34.74443655542394,33.683425022311276,33.95241466459674,173542000,33.17470423892645,31.08293524727835,30.844272275735975,33.35043484243667,2.0917689916481024,1.6932295681369234,0.398539423511179,70.20986325873238
2025-05-23,33.035858154296875,33.543947185859864,32.30859152459262,32.42315886877293,214220800,33.1533433028296,31.22759620335379,30.930216819993262,33.34730472613677,1.925747099475803,1.7397330744046997,0.1860140250711035,67.32283972340501
2025-05-27,35.337215423583984,35.4418218886443,34.06698700422088,34.36586316159557,130539600,33.4893236290995,31.532012441889364,31.103040294643883,33.36710483257903,1.957311187210138,1.7832486969657872,0.1740624902443506,77.49807287855741
2025-05-28,34.883914947509766,35.83534157124053,34.759382905686344,35.536461630531264,132542600,33.70387613962416,31.780301516379765,31.25130988887392,33.38219747053854,1.9235746232443915,1.811313882221508,0.1122607410228833,74.2232370303526
2025-05-29,35.053279876708984,36.39324203859652,34.5352261358942,36.363355565224055,193248800,33.91147671456029,32.022744357885635,31.40040675114196,33.39882515617208,1.8887323566746517,1.826797577112137,0.0619347795625147,72.79351762283902
2025-05-30,34.86896896362305,35.1678450803709,33.39451016063977,34.93372425212001,187118200,34.058783214416096,32.23357581016248,31.53642879869024,33.41345345276363,1.825207404253618,1.8264795425404332,-0.0012721382868152,72.12190840128463
2025-06-02,35.67095947265625,35.725753876794975,34.2164260910489,34.47046872796507,137925400,34.30681033106843,32.48819682219905,31.698567256492833,33.43591619923023,1.818613508869376,1.824906335806222,-0.0062928269368458,64.17524776159938
2025-06-03,36.502830505371094,36.8017066375922,35.56635094430064,35.74567738371655,128728400,34.644659588653454,32.78557709502661,31.886969736841,33.46643275949034,1.8590824936268433,1.8317415673703463,0.0273409262564969,61.47447244756314
